1,revered,尊敬される,形容詞
2,footnote,脚注,名詞
3,inherit,継承する,動詞
4,stiff,硬い,形容詞
5,to bear,耐える,動詞句
6,vocally,声に出して,副詞
7,demotivate,やる気をなくす,動詞
8,stiffen,硬直する,動詞
9,intention,意図,名詞
10,dwell,住む,動詞
11,to fawn,媚びへつらう,動詞
12,distract,気をそらす,動詞
13,celicacy,独身,名詞
14,abstain,棄権する,動詞
15,fluster,慌てて,動詞
16,bosom,胸,名詞
17,dovey,鳩のような,形容詞
18,puke,吐く,動詞
19,eavesdropping,盗聴,名詞
20,stimulation,刺激,名詞
21,treachery,裏切り,名詞
22,arousal,興奮,名詞
23,genitalia,性器,名詞
24,thick,厚い,形容詞
25,hard,難しい,形容詞
26,compliment,褒め言葉,名詞
27,flush,フラッシュ,動詞
28,thighten,締める,動詞
29,throb,ドキドキ,動詞
30,needily,困窮して,副詞
31,glob,グロブ,名詞
32,intense,激しい,形容詞
33,stroke,脳卒中,動詞
34,caress,愛撫,名詞
35,sultry,蒸し暑い,形容詞
36,pent up,抑え込まれた,形容詞句
37,effort,努力,名詞
38,finesse,フィネス,名詞
39,swirl,渦巻き,動詞
40,glans,亀頭,名詞
41,bliss,至福,名詞
42,pulse,脈,名詞
43,vary,変化する,動詞
44,relentless,容赦ない,形容詞
45,tease,からかう,動詞
46,coax out,説得する,動詞句
47,utmost,最大限の,形容詞
48,precision,精度,名詞
49,gratify,満足させる,動詞
50,groan,うめき声,名詞
51,brink,瀬戸際,名詞
52,ejaculate,射精する,動詞
53,anticipation,期待,名詞
54,straddle,跨ぐ,動詞
55,awe,畏敬の念,名詞
56,thighs,太もも,名詞
57,despite,にもかかわらず,前置詞
58,insatiable,飽くことのない,形容詞
59,bountiful,豊かな,形容詞
60,erratic,不安定な,形容詞
61,quiver,震え,動詞
62,fetch,フェッチ,動詞
63,microcosm,小宇宙,名詞
64,steamy,蒸し暑い,形容詞
65,befell,起こった,動詞
66,assume,仮定する,動詞
67,embrace,抱きしめる,動詞
68,preference,好み,名詞
69,predicament,苦境,名詞
70,abode,住居,名詞
71,shun,避ける,動詞
72,unwavering,揺るぎない,形容詞
73,esteemed,尊敬される,形容詞
74,pleasantry,社交,名詞
75,interject,口を挟む,動詞
76,comparison,比較,名詞
77,not even,さえも,副詞句
78,scowl,しかめっ面,名詞
79,leeway,余裕,名詞
80,obedient,従順な,形容詞
81,courteous,丁寧,形容詞
82,she just want to live vicariously through me.,彼女はただ私を通して間接的に生きたいだけなのです。,文
83,tyrannical,暴君的な,形容詞
84,missable,見逃せない,形容詞
85,onward,前進,副詞
86,considerably,かなり,副詞
87,presume,推定する,動詞
88,disposal,廃棄,名詞
89,accommodation,宿泊施設,名詞
90,gut,腸,名詞
91,hypoerfocused,過集中,形容詞
92,expect,期待する,動詞
93,except,を除外する,前置詞
94,intrude,侵入する,動詞
95,equally,平等に,副詞
96,excuse,言い訳,動詞
97,hastily,急いで,副詞
98,the last strands of daylight,最後の日光,名詞句
99,beguiled by,魅了されて,分詞句
100,shroud,シュラウド,名詞
101,solicit,勧誘する,動詞
102,kleptomaniacal,窃盗癖のある,形容詞
103,implication,含意,名詞
104,fiend,悪魔,名詞
105,arouse,喚起する,動詞
106,the afflicted,苦しむ人々,名詞句
107,extinguish,消す,動詞
108,itch,かゆみ,名詞
109,ooze,滲み出る,動詞
110,squirt,噴出,動詞
111,pelvis,骨盤,名詞
112,specifically,具体的には,副詞
113,unintended,意図しない,形容詞
114,expectantly,期待して,副詞
115,delirious,錯乱した,形容詞
116,sesuality,性的,名詞
117,spine,脊椎,名詞
118,reassuringly,安心させるように,副詞
119,relief,安心,名詞
120,ignite,発火,動詞
121,incapacitated,無力な,形容詞
122,intense,激しい,形容詞
123,methodically,系統的に,副詞
124,spasm,けいれん,名詞
125,sticky,粘着性,形容詞
126,orgasm subsided,オーガズムが収まった,句
127,bolster back,背中を支える,動詞句
128,soothe,落ち着かせる,動詞
129,elicite,引き出す,動詞
130,lewd,わいせつな,形容詞
131,moans,うめき声,名詞
132,dedication,献身,名詞
133,unload,荷降ろし,動詞
134,tease,からかう,動詞
135,brink,瀬戸際,名詞
136,groan,うめき声,名詞
137,sated,満足した,形容詞
138,pant,パンツ,動詞
139,afterglow,残光,名詞
140,limp,ぐったり,形容詞
141,flirty,軽薄な,形容詞
142,afflicted,苦しむ,形容詞
143,either way,どちらにしても,副詞句
144,strung along by,引きずり回された,分詞句
145,grimace,しかめっ面,動詞
146,peripheral vision,周辺視野,名詞句
